Date,asset1,holdings1,cash1,total asset1,return1,positions1,asset2,holdings2,cash2,total asset2,return2,positions2,z,total asset,z upper limit,z lower limit
2014-09-02,4.875,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.159999847412109,0.0,25063.3823325634,25063.3823325634,0.0,0.0,-0.17165263140225728,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-09-03,4.920000076293945,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.190000057220459,0.0,25063.3823325634,25063.3823325634,0.0,0.0,-0.1579004691933713,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-09-04,5.007500171661377,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.150000095367432,0.0,25063.3823325634,25063.3823325634,0.0,0.0,-0.3691802715841413,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-09-05,4.992499828338623,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.150000095367432,0.0,25063.3823325634,25063.3823325634,0.0,0.0,-0.34955838881429235,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-09-08,4.947500228881836,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.130000114440918,0.0,25063.3823325634,25063.3823325634,0.0,0.0,-0.339105269030959,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-09-09,4.885000228881836,-18484.840866088867,38617.282093048096,20132.44122695923,0.0,-1.0,4.079999923706055,17507.27967262268,7556.10265994072,25063.3823325634,0.0,1.0,-0.3783765157040758,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-09-10,4.902500152587891,-18551.060577392578,38617.282093048096,20066.221515655518,-0.0032892042528372967,0.0,4.079999923706055,17507.27967262268,7556.10265994072,25063.3823325634,0.0,0.0,-0.4012680885203228,45129.60384821892,0.45594600925079265,-0.37031754716565835
2014-09-11,4.852499961853027,0.0,20255.42223739624,20255.42223739624,0.009428816560861142,1.0,4.079999923706055,0.0,25063.3823325634,25063.3823325634,0.0,-1.0,-0.33586306011797984,45318.80456995964,0.45594600925079265,-0.37031754716565835
2014-09-12,4.78000020980835,-18087.520793914795,38342.943031311035,20255.42223739624,0.0,-1.0,3.9600000381469727,16992.36016368866,8071.022168874741,25063.3823325634,0.0,1.0,-0.5314903987409008,45318.80456995964,0.45594600925079265,-0.37031754716565835
2014-09-15,4.715000152587891,-17841.560577392578,38342.943031311035,20501.382453918457,0.012142932082063185,0.0,3.9100000858306885,16777.810368299484,8071.022168874741,24848.832537174225,-0.008560288972267904,0.0,-0.567490754518486,45350.21499109268,0.45594600925079265,-0.37031754716565835
